channel names:	
02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai0	02/17/2012 02:38:57 PM registro basal - Voltage - Dev1_ai1
start times:	
2/17/2012 14:39:22.500000	2/17/2012 14:39:22.500011
dt:	
0.001000	
data:	
4.144311E-2	1.440892E-2
3.855682E-2	1.376501E-2
3.374634E-2	4.982377E-2
3.919822E-2	1.923822E-2
4.400870E-2	2.825290E-2
3.887752E-2	5.368721E-2
4.144311E-2	3.855541E-2
3.855682E-2	4.628228E-2
3.855682E-2	6.914096E-2
3.951892E-2	5.336525E-2
3.823612E-2	6.366776E-2
3.663263E-2	5.239939E-2
3.759473E-2	5.239939E-2
4.080171E-2	5.272135E-2
3.759473E-2	4.596033E-2
3.727403E-2	5.078963E-2
4.913989E-2	4.596033E-2
4.112241E-2	4.821400E-2
3.599123E-2	5.658479E-2
3.983962E-2	5.594088E-2
4.016032E-2	4.628228E-2
3.695333E-2	5.948236E-2
3.695333E-2	5.433111E-2
3.599123E-2	4.080908E-2
3.823612E-2	4.789205E-2
3.695333E-2	4.338470E-2
4.080171E-2	4.048713E-2
4.080171E-2	6.817510E-2
3.727403E-2	3.340416E-2
3.567053E-2	2.438947E-2
3.534983E-2	5.207744E-2
3.791542E-2	3.565783E-2
3.663263E-2	3.372611E-2
3.470843E-2	3.984322E-2
3.727403E-2	2.825290E-2
3.342564E-2	2.760900E-2
3.727403E-2	7.003996E-3
3.374634E-2	1.279915E-2
3.695333E-2	5.394230E-3
3.470843E-2	-3.942412E-3
3.406704E-2	-3.942412E-3
4.016032E-2	-2.332646E-3
2.733236E-2	-6.518037E-3
2.957725E-2	-1.134733E-2
3.246354E-2	-5.874131E-3
3.470843E-2	-1.231319E-2
3.663263E-2	-4.586318E-3
3.631193E-2	-2.976552E-3
3.759473E-2	-1.585468E-2
3.663263E-2	-9.737569E-3
3.246354E-2	-1.070343E-2
3.214284E-2	-2.358155E-2
3.374634E-2	-6.839990E-3
3.663263E-2	-2.937671E-2
3.502913E-2	-3.130843E-2
3.342564E-2	-3.942412E-3
3.374634E-2	-3.002062E-2
3.342564E-2	-2.583523E-2
3.214284E-2	-6.196084E-3
2.893585E-2	-2.390351E-2
3.246354E-2	-2.197179E-2
3.214284E-2	-3.259624E-2
3.182214E-2	-2.229374E-2
3.053935E-2	-3.356210E-2
3.663263E-2	-3.806945E-2
3.374634E-2	-4.000116E-2
3.502913E-2	-4.837195E-2
3.406704E-2	-4.161093E-2
3.470843E-2	-3.420601E-2
3.502913E-2	-2.873280E-2
3.246354E-2	-4.483046E-2
3.214284E-2	-2.647913E-2
2.957725E-2	-2.197179E-2
2.444607E-2	-4.708413E-2
2.765306E-2	-2.486937E-2
3.118075E-2	-3.742554E-2
2.604956E-2	-4.289874E-2
2.957725E-2	-1.810835E-2
2.989795E-2	-3.967921E-2
3.021865E-2	-3.967921E-2
3.182214E-2	-7.483897E-3
3.406704E-2	-2.551327E-2
3.246354E-2	-1.617663E-2
2.925655E-2	-7.805850E-3
3.214284E-2	-2.551327E-2
2.957725E-2	-2.486937E-2
3.086005E-2	-4.515241E-2
